,max_depth,minInstancesPerNode,training f1,validation f1,Best Model
0,2.0,2.0,0.8998776907438584,0.8989666058856814,0.0
1,2.0,5.0,0.8998776907438584,0.8989666058856814,0.0
2,2.0,10.0,0.8998776907438584,0.8989666058856814,0.0
3,2.0,15.0,0.8998776907438584,0.8989666058856814,0.0
4,2.0,20.0,0.8998776907438584,0.8989666058856814,0.0
5,5.0,2.0,0.904511885568386,0.9036173765750021,0.0
6,5.0,5.0,0.9045120718489387,0.9036173765750021,0.0
7,5.0,10.0,0.9045026749960261,0.9036126972782931,0.0
8,5.0,15.0,0.9045026749960261,0.9036126972782931,0.0
9,5.0,20.0,0.9045026749960261,0.9036126972782931,0.0
10,10.0,2.0,0.9092662278182081,0.9073746469936794,0.0
11,10.0,5.0,0.9092625404689546,0.9073985022633064,0.0
12,10.0,10.0,0.9091728046412167,0.9073651103995853,0.0
13,10.0,15.0,0.9091532463304709,0.907536674566595,0.0
14,10.0,20.0,0.9091602958178094,0.9075414502890549,0.0
15,15.0,2.0,0.9125202780750641,0.9068233219790841,0.0
16,15.0,5.0,0.9118032423916894,0.9071598288539061,0.0
17,15.0,10.0,0.911098767926418,0.907730046525157,0.0
18,15.0,15.0,0.9110092012263374,0.9081133300337122,0.0
19,15.0,20.0,0.910596140416191,0.9080701402553887,0.0
20,20.0,2.0,0.915587895183753,0.906321125964952,0.0
21,20.0,5.0,0.9135359912407495,0.9069396383327706,0.0
22,20.0,10.0,0.911841103599983,0.907790621537739,0.0
23,20.0,15.0,0.911103265630833,0.9079111806805746,0.0
24,20.0,20.0,0.9107073791121181,0.9079135409903868,1000.0
